temperature,1527042110,4
temperature,1525998575,4
temperature,1479768457,2
temperature,1470699423,10
temperature,1495851219,5
temperature,1493885822,8
temperature,1488301257,7
temperature,1470729160,6
temperature,1470279694,3
temperature,1485815840,7
temperature,1516663170,5
temperature,1503632294,10
temperature,1477501781,9
temperature,1471231589,5
temperature,1472761799,8
temperature,1484852539,5
temperature,1476321624,2
temperature,1520091051,10
temperature,1472449981,3
temperature,1499532482,10
temperature,1508435893,1
temperature,1519955054,8
temperature,1498753740,0
temperature,1484105656,0
temperature,1510575235,4
temperature,1482628679,9
temperature,1522800681,1
temperature,1508957588,2
temperature,1472480037,3
temperature,1477487692,3
temperature,1499577729,2
temperature,1508093103,8
temperature,1499279033,7
temperature,1513271275,7
temperature,1518406757,0
temperature,1487155542,6
temperature,1467788895,1
temperature,1501440262,5
temperature,1512820686,7
temperature,1505987199,4
temperature,1495682973,2
temperature,1474124216,8
temperature,1477118222,8
temperature,1528611718,8
temperature,1488527178,5
temperature,1495616324,1
temperature,1475190292,8
temperature,1483186496,8
temperature,1474063750,6
raining,1474344107,5
raining,1509596459,6
raining,1484465866,5
raining,1523981124,6
raining,1466964432,0
raining,1501008343,0
raining,1527948120,9
raining,1512818063,0
raining,1486369838,7
raining,1490681117,0
raining,1522447864,5
raining,1511756672,10
raining,1495549226,5
raining,1513551859,9
raining,1471971295,6
raining,1487599122,1
raining,1470199214,1
raining,1470065507,7
raining,1516942068,3
raining,1504892336,5
raining,1527623458,3
raining,1492516978,7
raining,1529029682,4
raining,1480484108,4
raining,1479400602,10
raining,1487480115,1
raining,1514146978,1
raining,1498520725,8
raining,1510665756,8
raining,1515381080,9
raining,1491274384,4
raining,1507385358,10
raining,1482715718,5
raining,1518180894,10
raining,1528470269,9
raining,1523677752,4
raining,1489496997,2
raining,1466673563,8
raining,1521038628,3
raining,1492344191,10
raining,1505951696,2
raining,1509397011,1
raining,1486630470,2
raining,1516028456,9
raining,1511894576,9
raining,1493926352,0
raining,1491022179,1
raining,1526503537,9
raining,1474883671,1
raining,1486922672,10
raining,1517054495,9
raining,1514772780,1
raining,1514458841,7
raining,1501377575,6
raining,1504133590,0
raining,1477448223,2
raining,1524799481,6
raining,1500475317,10
raining,1510342825,8
raining,1485524254,4
raining,1490743617,0
